number for sorting purposes,protein name,family,gene ID,synonym,clone,all gene IDs,subgenome
20072,ZmEREB72,AP2/ERF-ERF,Zm00001eb268180,EREB72,pUT4563,Zm00001eb268180 Zm00001d035835 GRMZM2G135452,
20073,ZmEREB73,AP2/ERF-ERF,,EREB73,,GRMZM2G060876,
20074,ZmEREB74,AP2/ERF-ERF,Zm00001eb222470,EREB74,pUT6555,GRMZM2G024871 Zm00001eb222470 Zm00001d014113,2
20075,ZmEREB75,AP2/ERF-ERF,Zm00001eb327540,EREB75,,GRMZM2G060249 Zm00001eb327540,
20076,ZmEREB76,AP2/ERF-ERF,Zm00001eb248380,EREB76,pUT5601,Zm00001d017366 GRMZM2G139765 Zm00001eb248380 Zm00001eb248390,1
20078,ZmEREB78,AP2/ERF-ERF,Zm00001eb175740,EREB78,,GRMZM2G060206 Zm00001eb175740 Zm00001d049903,
20079,ZmEREB79,AP2/ERF-ERF,Zm00001eb037530,EREB79,pUT6493,GRMZM2G175856 Zm00001eb037530 Zm00001d031728,
20080,ZmEREB80,AP2/ERF-ERF,Zm00001eb359500,EREB80,,GRMZM2G151542 Zm00001d011499 Zm00001eb359500,2
20084,ZmEREB84,AP2/ERF-ERF,Zm00001eb288320,EREB84,,Zm00001eb288320 GRMZM2G481668 Zm00001d038216,
20085,ZmEREB85,AP2/ERF-ERF,Zm00001eb093560,WRI1,pUT3455,Zm00001d005016 Zm00001eb093560 GRMZM2G124524,2
20086,ZmEREB86,AP2/ERF-ERF,Zm00001eb427130,EREB86,pUT5591,Zm00001d025910 GRMZM2G040664 Zm00001eb427130,2
20087,ZmEREB87,AP2/ERF-ERF,Zm00001eb074910,EREB87,pUT3177,Zm00001eb074910 Zm00001d002761 GRMZM5G805505,
20088,ZmEREB88,AP2/ERF-ERF,Zm00001eb318920,EREB88,,Zm00001eb318920 GRMZM2G018138 Zm00001d021214,1
20089,ZmEREB89,AP2/ERF-ERF,Zm00001eb175640,EREB89,pUT5602,Zm00001d049889 Zm00001eb175640 GRMZM2G156737,2
20090,ZmEREB90,AP2/ERF-ERF,Zm00001eb257170,EREB90,pUT5451,Zm00001d018305 GRMZM2G110333 Zm00001eb257170,1
20091,ZmEREB91,AP2/ERF-ERF,Zm00001eb084720,EREB91,pUT5597,Zm00001d003871 Zm00001eb084720 GRMZM2G079825,
20093,ZmEREB93,AP2/ERF-ERF,Zm00001eb352570,EREB93,pUT3488,GRMZM2G066158 Zm00001d010676 Zm00001eb352570,
20094,ZmEREB94,AP2/ERF-ERF,Zm00001eb309590,EREB94,pUT5412,Zm00001d020043 GRMZM2G363052 Zm00001eb309590,1
20095,ZmEREB95,AP2/ERF-ERF,Zm00001eb004020,EREB95,pUT5371,Zm00001d027686 Zm00001eb004020 AC198979.4_FG009 Zm00001d027687,1
20097,ZmEREB97,AP2/ERF-ERF,Zm00001eb071190,EREB97,pUT5449,Zm00001d002364 Zm00001eb071190 GRMZM2G068967,1
20098,ZmEREB98,AP2/ERF-ERF,,EREB98,,GRMZM2G052720 Zm00001d053859,
20099,ZmEREB99,AP2/ERF-ERF,,EREB99,,GRMZM2G073258,
20100,ZmEREB100,AP2/ERF-ERF,Zm00001eb290280,EREB100,pUT4679,Zm00001eb290280 AC209257.4_FG004 Zm00001eb290290 AC209257.4_FG006 Zm00001d038446,
20101,ZmEREB101,AP2/ERF-ERF,Zm00001eb007000,EREB101,pUT6506,Zm00001d028017 GRMZM2G003466 Zm00001eb007000,1
20102,ZmEREB102,AP2/ERF-ERF,Zm00001eb313850,EREB102,,Zm00001eb313850 Zm00001d020595 GRMZM2G052667,
20106,ZmEREB106,AP2/ERF-ERF,Zm00001eb168040,EREB106,,AC198403.3_FG001 Zm00001d048991 Zm00001eb168040,
20107,ZmEREB107,AP2/ERF-ERF,Zm00001eb249320,EREB107,pUT5360,GRMZM2G057386 Zm00001d017466 Zm00001eb249320,
20108,ZmEREB108,AP2/ERF-ERF,Zm00001eb035470,EREB108,pUT5610,Zm00001d031499 Zm00001eb035470 GRMZM2G480434,1
20111,ZmEREB111,AP2/ERF-ERF,Zm00001eb202570,EREB111,,Zm00001eb202570 GRMZM2G076896 Zm00001d053195,
20112,ZmEREB112,AP2/ERF-ERF,Zm00001eb027780,EREB112,pUT5374,Zm00001eb027780 Zm00001d030513 GRMZM2G039870,
20113,ZmEREB113,AP2/ERF-ERF,Zm00001eb348560,EREB113,pUT3210,GRMZM2G457562 Zm00001d010175 Zm00001eb348560,
20115,ZmEREB115,AP2/ERF-ERF,Zm00001eb318910,EREB115,pUT5644,Zm00001d021208 GRMZM2G069146 Zm00001eb318910,1
20116,ZmEREB116,AP2/ERF-ERF,Zm00001eb318060,EREB116,pUT5792,Zm00001d021089 Zm00001eb318060 GRMZM2G131281,
20118,ZmEREB118,AP2/ERF-ERF,Zm00001eb335200,EREB118,pUT6636,Zm00001eb335200 GRMZM2G081892 Zm00001eb335190 Zm00001d008546 Zm00001d008545,2
20119,ZmEREB119,AP2/ERF-ERF,Zm00001eb037040,EREB119,,Zm00001d031673 Zm00001eb037040 GRMZM2G309731,
20120,ZmEREB120,AP2/ERF-ERF,Zm00001eb007330,EREB120,pUT4088,Zm00001eb007330 Zm00001d028066 Zm00001eb007340 Zm00001eb007350 GRMZM2G703514 AC200038.4_FG011,
20121,ZmEREB121,AP2/ERF-ERF,Zm00001eb303810,PZA03344,,GRMZM2G176175 Zm00001d019230 Zm00001eb303810 Zm00001eb303820,1
20123,ZmEREB123,AP2/ERF-ERF,Zm00001eb007370,EREB123,pUT5652,Zm00001eb007370 Zm00001d028068 GRMZM2G461907,
20124,ZmEREB124,AP2/ERF-ERF,Zm00001eb402050,EREB124,pUT6712,Zm00001d048297 Zm00001eb402050 GRMZM2G399098,
20125,ZmEREB125,AP2/ERF-ERF,Zm00001eb421530,EREB125,pUT6553,GRMZM2G023708 Zm00001d025298 Zm00001eb421530,
20129,ZmEREB129,AP2/ERF-ERF,Zm00001eb242090,EREB129,,GRMZM2G016434 Zm00001d016616 Zm00001eb242090,
20131,ZmEREB131,AP2/ERF-ERF,Zm00001eb084810,EREB131,pUT4415,Zm00001eb084810 GRMZM2G087059 Zm00001eb084820 Zm00001d003884,
20132,ZmEREB132,AP2/ERF-ERF,Zm00001eb183620,EREB132,pUT4685,GRMZM2G165257 Zm00001d050948 Zm00001eb183620,2
20134,ZmEREB134,AP2/ERF-ERF,Zm00001eb153470,EREB134,pUT5609,Zm00001d043491 GRMZM2G474326 Zm00001eb153470,1
20135,ZmEREB135,AP2/ERF-ERF,Zm00001eb271260,EREB135,pUT5604,Zm00001d036251 GRMZM2G328197 Zm00001eb271260,2
20136,ZmEREB136,AP2/ERF-ERF,Zm00001eb256080,EREB136,pUT6739,Zm00001eb256080 Zm00001eb256070 Zm00001d018191 GRMZM5G806638 GRMZM2G021369,1
20137,ZmEREB137,AP2/ERF-ERF,Zm00001eb038660,EREB137,,Zm00001d031861 GRMZM2G028386 Zm00001eb038660,1
20138,ZmEREB138,AP2/ERF-ERF,Zm00001eb234870,EREB138,pUT6482,Zm00001eb234870 Zm00001d015639 GRMZM2G079653,1
20140,ZmEREB140,AP2/ERF-ERF,Zm00001eb177550,EREB140,,GRMZM2G348307 Zm00001d050137 Zm00001eb177550,
20142,ZmEREB142,AP2/ERF-ERF,Zm00001eb051660,EREB142,pUT5643,GRMZM2G010100 Zm00001eb051660 Zm00001d033353,1
20145,ZmEREB145,AP2/ERF-ERF,Zm00001eb276690,EREB145,pUT6803,GRMZM2G106591 Zm00001eb276690 Zm00001eb276700 Zm00001d036889,2
20148,ZmEREB148,AP2/ERF-ERF,Zm00001eb340140,EREB148,,GRMZM2G053503 Zm00001d009103 Zm00001eb340140,2
20149,ZmEREB149,AP2/ERF-ERF,Zm00001eb421430,EREB149,,GRMZM2G425798 Zm00001d025281 Zm00001eb421430,
20151,ZmEREB151,AP2/ERF-ERF,Zm00001eb330200,BD1,pUT5407,Zm00001eb330200 GRMZM2G307119 Zm00001d022488,1
20153,ZmEREB153,AP2/ERF-ERF,Zm00001eb302740,EREB153,,Zm00001d019096 Zm00001eb302740 GRMZM2G379652,
20154,ZmEREB154,AP2/ERF-ERF,Zm00001eb075900,EREB154,,GRMZM2G026926 Zm00001d002867 Zm00001eb075900,1
20155,ZmEREB155,AP2/ERF-ERF,Zm00001eb195490,EREB155,pUT6799,Zm00001eb195490 Zm00001d052365 GRMZM2G060465,
20158,ZmEREB158,AP2/ERF-ERF,Zm00001eb150830,EREB158,pUT6538,Zm00001d043204 Zm00001eb150830 GRMZM2G002119,
20159,ZmEREB159,AP2/ERF-ERF,Zm00001eb062200,EREB159,,GRMZM2G009598 Zm00001d034605 Zm00001eb062200,
20160,ZmEREB160,AP2/ERF-ERF,Zm00001eb374110,EREB160,pUT6509,Zm00001d045044 GRMZM2G171179 Zm00001eb374110,1
20164,ZmEREB164,AP2/ERF-ERF,Zm00001eb286280,EREB164,pUT5411,Zm00001d038001 GRMZM2G093595 Zm00001eb286280,1
20166,ZmEREB166,AP2/ERF-ERF,Zm00001eb302750,EREB166,pUT5976,GRMZM2G478965 Zm00001d019098 Zm00001eb302750,
20167,ZmEREB167,AP2/ERF-ERF,Zm00001eb040690,EREB167,pUT5406,GRMZM2G050851 Zm00001d032095 Zm00001eb040690,
20168,ZmEREB168,AP2/ERF-ERF,Zm00001eb030240,EREB168,pUT3176,Zm00001d030862 GRMZM2G039112 Zm00001eb030240,
20169,ZmEREB169,AP2/ERF-ERF,Zm00001eb035460,EREB169,,GRMZM2G016079 Zm00001d031498 Zm00001eb035460,1
20170,ZmEREB170,AP2/ERF-ERF,Zm00001eb185680,EREB170,pUT6664,Zm00001d051239 Zm00001eb185680 GRMZM2G300924,2
20172,ZmEREB172,AP2/ERF-ERF,Zm00001eb038070,EREB172,pUT5387,Zm00001eb038070 Zm00001d031796 GRMZM2G369472,1
20174,ZmEREB174,AP2/ERF-ERF,Zm00001eb146650,EREB174,,Zm00001d042717 GRMZM2G149756 Zm00001eb146650,
20175,ZmEREB175,AP2/ERF-ERF,Zm00001eb376110,EREB175,pUT5607,GRMZM2G429378 Zm00001eb376110 Zm00001d045262,1
20176,ZmEREB176,AP2/ERF-ERF,Zm00001eb186490,EREB176,pUT6539,Zm00001d051355 GRMZM2G072926 Zm00001eb186490,2
20177,ZmEREB177,AP2/ERF-ERF,Zm00001eb307550,EREB177,pUT3211,Zm00001eb307550 GRMZM2G123119 Zm00001d019734,1
20178,ZmEREB178,AP2/ERF-ERF,Zm00001eb242140,EREB178,pUT5959,Zm00001eb242140 Zm00001d016623 GRMZM2G047999,
20180,ZmEREB180,AP2/ERF-ERF,Zm00001eb006180,EREB180,pUT3484,Zm00001d027925 GRMZM2G018984 Zm00001eb006180,1
20181,ZmEREB181,AP2/ERF-ERF,Zm00001eb006200,EREB181,pUT3174,AC206951.3_FG016 Zm00001d027928 Zm00001eb006200,
20182,ZmEREB182,AP2/ERF-ERF,Zm00001eb006210,EREB182,,AC206951.3_FG017 Zm00001d027929 Zm00001eb006210,
20183,ZmEREB183,AP2/ERF-ERF,Zm00001eb111080,EREB183,pUT5965,GRMZM2G458437 Zm00001d007119 Zm00001eb111080,2
20185,ZmEREB185,AP2/ERF-ERF,Zm00001eb074750,EREB185,pUT5956,GRMZM2G028969 Zm00001eb074750 Zm00001d002747,1
20190,ZmEREB190,AP2/ERF-ERF,Zm00001eb432460,EREB190,pUT4678,Zm00001eb432460 Zm00001d026486 GRMZM2G104260,2
20191,ZmEREB191,AP2/ERF-ERF,Zm00001eb239450,EREB191,pUT5594,Zm00001eb239450 GRMZM2G047918 Zm00001d016262,
20192,ZmEREB192,AP2/ERF-ERF,Zm00001eb125330,EREB192,pUT5769,Zm00001eb125330 GRMZM2G129777,1
20193,ZmEREB193,AP2/ERF-ERF,Zm00001eb130510,EREB193,pUT3171,Zm00001eb130510 Zm00001d040651 GRMZM2G169382,1
20194,ZmEREB194,AP2/ERF-ERF,,EREB194,,GRMZM2G120401,
20196,ZmEREB196,AP2/ERF-ERF,Zm00001eb291730,EREB196,pUT6494,Zm00001d038585 Zm00001eb291730 GRMZM2G020150,
20199,ZmEREB199,AP2/ERF-ERF,Zm00001eb040530,EREB199,pUT6665,Zm00001eb040530 GRMZM2G163745 Zm00001d032077,
20200,ZmEREB200,AP2/ERF-ERF,Zm00001eb330490,EREB200,pUT6630,Zm00001eb330490 Zm00001d022461 GRMZM2G025062,1
20202,ZmEREB202,AP2/ERF-ERF,Zm00001eb099980,EREB202,pUT5453,GRMZM2G148333 Zm00001eb099980 Zm00001d005798,
20203,ZmEREB203,AP2/ERF-ERF,Zm00001eb387490,EREB203,pUT5567,Zm00001d046651 GRMZM2G104866 Zm00001eb387490,1
20204,ZmEREB204,AP2/ERF-ERF,Zm00001eb042240,DBF1,pUT5770,Zm00001eb042240 Zm00001d032295 GRMZM2G061487,1
20205,ZmEREB205,AP2/ERF-ERF,Zm00001eb430640,EREB205,pUT6778,GRMZM2G438202 Zm00001eb430640 Zm00001d026271,2
20207,ZmEREB207,AP2/ERF-ERF,Zm00001eb374830,EREB207,pUT4562,Zm00001eb374830 GRMZM2G156006 Zm00001d045120,1
20209,ZmEREB209,AP2/ERF-ERF,Zm00001eb171050,EREB209,pUT5645,GRMZM2G089995 Zm00001eb171050 Zm00001d049364,2
20211,ZmEREB211,AP2/ERF-ERF,Zm00001eb100800,EREB211,pUT6288,Zm00001eb100800 Zm00001d005892 GRMZM2G138396,2
20212,ZmEREB212,AP2/ERF-ERF,Zm00001eb432100,EREB212,pUT5413,Zm00001eb432100 GRMZM2G076602 Zm00001d026448,2
20213,ZmEREB213,AP2/ERF-ERF,Zm00001eb440680,,,Zm00001eb440680,
20214,ZmEREB214,AP2/ERF-ERF,Zm00001eb001210,,,Zm00001eb001210 GRMZM2G030299 Zm00001eb001200 GRMZM2G320111 Zm00001d027369,1
20215,ZmEREB215,AP2/ERF-ERF,Zm00001eb007360,,,Zm00001eb007360,
20216,ZmEREB216,AP2/ERF-ERF,Zm00001eb257030,,,Zm00001eb257030 Zm00001eb257020 Zm00001d018288,
20217,ZmEREB217,AP2/ERF-ERF,Zm00001eb373370,,,Zm00001d044950 Zm00001eb373370,
20218,ZmEREB218,AP2/ERF-ERF,Zm00001eb408830,,,Zm00001d023662 Zm00001eb408830,
20219,ZmEREB219,AP2/ERF-ERF,Zm00001eb152690,,,Zm00001d043409 Zm00001eb152690,
20220,ZmEREB220,AP2/ERF-ERF,Zm00001eb066910,,,Zm00001eb066910 Zm00001d001907 Zm00001eb066900 Zm00001eb066890 GRMZM2G010555 Zm00001d001908,1
20221,ZmEREB221,AP2/ERF-ERF,Zm00001eb429810,,,Zm00001eb429810 Zm00001d026184 Zm00001eb429800,
20222,ZmEREB222,AP2/ERF-ERF,Zm00001eb241420,,,GRMZM2G118479 Zm00001d016535 Zm00001eb241420 GRMZM2G346207,
20223,ZmEREB223,AP2/ERF-ERF,Zm00001eb048080,,,Zm00001d032967 Zm00001eb048080 GRMZM2G339203,
20224,ZmEREB224,AP2/ERF-ERF,Zm00001eb095780,,,Zm00001d005309 Zm00001eb095780,
20225,ZmEREB225,AP2/ERF-ERF,Zm00001eb114940,,,Zm00001eb114940,
20226,ZmEREB226,AP2/ERF-ERF,Zm00001eb226070,,,Zm00001eb226070 Zm00001d014565,
20227,ZmEREB227,AP2/ERF-ERF,Zm00001eb023680,,,Zm00001eb023680 Zm00001d029940,
20228,ZmEREB228,AP2/ERF-ERF,Zm00001eb028530,,,Zm00001d030631 Zm00001eb028530,
20229,ZmEREB229,AP2/ERF-ERF,Zm00001eb336270,,,Zm00001d008665 Zm00001eb336270,
30001,ZmARF1,ARF,Zm00001eb035640,ARFTF1,pUT6076,Zm00001eb035640 GRMZM2G169820 Zm00001d031522,1
30002,ZmARF2,ARF,Zm00001eb045640,ARFTF2,pUT3102,Zm00001eb045640 GRMZM2G153233 Zm00001d032683,1
30003,ZmARF3,ARF,Zm00001eb066640,ARFTF3,,GRMZM2G078274 Zm00001d001879 Zm00001eb066640,1
30004,ZmARF4,ARF,Zm00001eb067270,ARFTF4,pUT3104,GRMZM2G034840 Zm00001d001945 Zm00001eb067270,1
30005,ZmARF5,ARF,Zm00001eb076420,ARFTF5,pUT3116,GRMZM5G808366 Zm00001d002929 Zm00001eb076420,
30006,ZmARF6,ARF,Zm00001eb077170,ARFTF6,pUT4010,GRMZM2G122614 Zm00001eb077170 Zm00001d003011,1
30007,ZmARF7,ARF,Zm00001eb118970,ARFTF7,pUT1501,GRMZM2G475263 Zm00001eb118970 Zm00001d039267,1
30008,ZmARF8,ARF,Zm00001eb133000,ARFTF8,pUT6156,Zm00001eb133000 GRMZM2G352159 Zm00001d041056,
30009,ZmARF9,ARF,Zm00001eb136130,ARFTF9,pUT3107,Zm00001d041497 GRMZM2G073750 Zm00001eb136130,2
30010,ZmARF10,ARF,Zm00001eb142540,ARFTF10,,Zm00001eb142540 GRMZM2G338259 Zm00001d042267,1
30011,ZmARF11,ARF,Zm00001eb152940,ARFTF11,,Zm00001d043431 GRMZM2G056120 Zm00001eb152940,
30012,ZmARF12,ARF,Zm00001eb157270,ARFTF12,pUT3106,Zm00001d043922 Zm00001eb157270 GRMZM2G437460,
30013,ZmARF13,ARF,Zm00001eb170540,ARFTF13,pUT6313,GRMZM2G378580 Zm00001d049295 Zm00001eb170540,1
30014,ZmARF14,ARF,Zm00001eb182260,ARFTF14,pUT3110,Zm00001d050781 GRMZM2G137413 Zm00001eb182260,2
30015,ZmARF15,ARF,Zm00001eb185290,ARFTF15,,Zm00001eb185290 GRMZM2G081406 Zm00001d051172,2
30016,ZmARF16,ARF,Zm00001eb207450,ARFTF16,pUT5681,Zm00001d053819 GRMZM2G028980 Zm00001eb207450,2
30017,ZmARF17,ARF,Zm00001eb221620,ARFTF17,,GRMZM2G159399 Zm00001eb221620 Zm00001d014013,2
30018,ZmARF18,ARF,Zm00001eb224680,ARFTF18,pUT3355,GRMZM2G035405 Zm00001eb224680 Zm00001d014377,1
30019,ZmARF19,ARF,Zm00001eb225570,ARFTF19,pUT4686,Zm00001eb225570 Zm00001d014507 AC207656.3_FG002,1
30020,ZmARF20,ARF,Zm00001eb232120,ARFTF20,,GRMZM2G102845 Zm00001d015243 Zm00001eb232120,1
30021,ZmARF21,ARF,Zm00001eb273540,ARFTF21,pUT6078,Zm00001eb273540 GRMZM2G390641 Zm00001d000358,2
30022,ZmARF22,ARF,Zm00001eb273840,ARFTF22,,Zm00001d036593 Zm00001eb273840 GRMZM2G089640,2
30023,ZmARF23,ARF,Zm00001eb292830,ARFTF23,pUT3108,Zm00001eb292830 Zm00001d038698 GRMZM2G441325,
30024,ZmARF24,ARF,Zm00001eb295830,ARFTF24,pUT6242,Zm00001eb295830 GRMZM2G030710 Zm00001d039006,
30025,ZmARF25,ARF,Zm00001eb363810,ARFTF25,pUT3354,Zm00001eb363810 Zm00001d011953 GRMZM2G116557,2
30026,ZmARF26,ARF,Zm00001eb370810,ARFTF26,,Zm00001d012731 Zm00001eb370810 GRMZM5G874163,
30027,ZmARF27,ARF,Zm00001eb373970,ARFTF27,pUT5682,Zm00001d045026 Zm00001eb373970 GRMZM2G160005,
30028,ZmARF28,ARF,Zm00001eb408800,ARFTF28,pUT3124,GRMZM2G006042 Zm00001eb408800 Zm00001d023659,1
30029,ZmARF29,ARF,Zm00001eb433020,ARFTF29,,Zm00001eb433020 Zm00001d026540 GRMZM2G086949,2
30030,ZmARF30,ARF,Zm00001eb433460,ARFTF30,,Zm00001eb433460 GRMZM2G475882 Zm00001d026590,2
30031,ZmARF31,ARF,Zm00001eb434380,ARFTF31,pUT6038,GRMZM2G023813 Zm00001eb434380 Zm00001d026687,2
30032,ZmARF32,ARF,,ARFTF32,,GRMZM2G181254 Zm00001d030803,
30033,ZmARF33,ARF,Zm00001eb029770,ARFTF33,pUT3644,GRMZM2G179121 Zm00001eb029770 Zm00001d030801,
30034,ZmARF34,ARF,Zm00001eb031700,ARFTF34,pUT6075,Zm00001d031064 GRMZM2G081158 Zm00001eb031700,1
30035,ZmARF35,ARF,Zm00001eb227100,ARFTF35,,Zm00001d014690 GRMZM2G317900 Zm00001eb227100,1
30036,ZmARF36,ARF,Zm00001eb243930,ARFTF36,pUT3352,Zm00001d016838 Zm00001eb243930 GRMZM2G702026,1
30037,ZmARF37,ARF,,ARFTF37,,GRMZM2G075715,
30038,ZmARF38,ARF,Zm00001eb426740,ARFTF38,,Zm00001eb426740 GRMZM2G005284 Zm00001d025871,2
30039,ZmARF39,ARF,Zm00001eb082150,ZmABI17,,Zm00001d003601 Zm00001eb082150 GRMZM2G017187,1
40001,ZmARID1,ARID,Zm00001eb047000,ARID1,pUT4275,GRMZM2G365731 Zm00001eb047000 Zm00001d032832,1
40002,ZmARID2,ARID,Zm00001eb099960,ARID2,,Zm00001eb099960 Zm00001d005794 GRMZM2G140156,2
40003,ZmARID3,ARID,Zm00001eb188950,ARID3,pUT4951,Zm00001d051632 Zm00001eb188950 GRMZM2G110109,2
40004,ZmARID4,ARID,Zm00001eb313820,ARID4,pUT3143,GRMZM2G138976 GRMZM5G873335 Zm00001d020593 Zm00001eb313820,1
40005,ZmARID5,ARID,Zm00001eb252640,ARID5,pUT5685,GRMZM2G421899 Zm00001d017831 Zm00001eb252640,1
40006,ZmARID6,ARID,Zm00001eb240740,ARID6,pUT5683,GRMZM2G024976 Zm00001d016456 Zm00001eb240740,
40007,ZmARID7,ARID,Zm00001eb229050,ARID7,,Zm00001d014900 GRMZM2G466292 Zm00001eb229050 GRMZM2G466270,
40008,ZmARID8,ARID,Zm00001eb275690,ARID8,pUT5684,Zm00001eb275690 Zm00001d036790 GRMZM2G180654,2
40009,ZmARID9,ARID,Zm00001eb040700,ARID9,pUT3144,Zm00001eb040700 GRMZM2G110306 GRMZM5G866423 Zm00001d032096 Zm00001eb040710,
40010,ZmARID10,ARID,Zm00001eb388060,ARID10,pUT3099,Zm00001eb388060 GRMZM5G883993 Zm00001d046719,
40011,ZmARID11,ARID,Zm00001eb418330,,,GRMZM2G424651 Zm00001eb418330 Zm00001d024873,
40012,ZmARID12,ARID,Zm00001eb203110,,,Zm00001eb203110 Zm00001d053265,
50001,ZmARR1,ARR-B,Zm00001eb399830,ARR1,pUT1134 pUT1438,Zm00001d048046 GRMZM2G126834 Zm00001eb399830,2
50002,ZmARR2,ARR-B,Zm00001eb374760,ARR2,,GRMZM2G409974 Zm00001eb374760 Zm00001d045112,1
50004,ZmARR4,ARR-B,Zm00001eb388280,ARR4,pUT4687,Zm00001d046755 Zm00001eb388280 GRMZM2G360523,
50006,ZmARR6,ARR-B,Zm00001eb144290,ARR6,,Zm00001eb144290 GRMZM2G177220 Zm00001d042463,1
50007,ZmARR7,ARR-B,Zm00001eb365420,ARR7,,Zm00001eb365420 Zm00001d012128 GRMZM2G100318,2
50008,ZmARR8,ARR-B,Zm00001eb257860,ARR8,,Zm00001eb257860 Zm00001d018380 GRMZM2G479110,1
50009,ZmARR9,ARR-B,Zm00001eb234170,ZmGLK24,pUT1502,Zm00001eb234170 Zm00001d015521 GRMZM2G060485,1
60001,ZmALF1,Alfin-like,Zm00001eb282300,ALF1,pUT1441,Zm00001d037537 Zm00001eb282300 GRMZM2G148810,
60002,ZmALF2,Alfin-like,Zm00001eb244180,ALF2,pUT6626,Zm00001eb244180 GRMZM2G063864 Zm00001d016861,1
60003,ZmALF3,Alfin-like,Zm00001eb327240,ALF3,,GRMZM2G038066 Zm00001d022110 Zm00001eb327240,1
60004,ZmALF4,Alfin-like,Zm00001eb138270,ALF4,pUT6507,Zm00001eb138270 Zm00001d041767 GRMZM2G153087,2
60005,ZmALF5,Alfin-like,Zm00001eb288280,ALF5,pUT6529,GRMZM2G016817 Zm00001d038208 Zm00001eb288280,1
60006,ZmALF6,Alfin-like,Zm00001eb411150,ALF6,pUT6662,GRMZM2G115424 Zm00001d023962 Zm00001eb411150,1
60007,ZmALF7,Alfin-like,Zm00001eb182490,ALF7,pUT5753,GRMZM2G107807 Zm00001eb182490 Zm00001d050816,2
60008,ZmALF8,Alfin-like,Zm00001eb365950,ALF8,pUT1500,Zm00001eb365950 GRMZM2G172001 Zm00001d012196,2
60009,ZmALF9,Alfin-like,Zm00001eb353930,ALF9,pUT1436,GRMZM2G017142 Zm00001d010834 Zm00001eb353930,
60010,ZmALF10,Alfin-like,Zm00001eb423260,ALF10,pUT5755,Zm00001d025504 GRMZM2G050495 Zm00001eb423260,2
60011,ZmALF11,Alfin-like,Zm00001eb349140,ALF11,pUT6296,GRMZM2G158918 Zm00001eb349140 Zm00001d010241,2
60012,ZmALF12,Alfin-like,Zm00001eb336130,ALF12,pUT5779,GRMZM5G893976 Zm00001eb336130,
60013,ZmALF13,Alfin-like,Zm00001eb145370,ALF13,pUT6601,Zm00001eb145370 GRMZM2G080917 Zm00001d042582,1
60014,ZmALF14,Alfin-like,Zm00001eb423200,ALF14,pUT4122,GRMZM2G156088 Zm00001eb423200 Zm00001d025491,2
60015,ZmALF15,Alfin-like,Zm00001eb062440,ALF15,pUT1434,Zm00001eb062440 AC225147.4_FG003 Zm00001d034627,
60016,ZmALF16,Alfin-like,,ALF16,,GRMZM2G016564,2
60017,ZmALF17,Alfin-like,Zm00001eb211930,ALF17,pUT6274,GRMZM2G110952 Zm00001eb211930 Zm00001eb211920 Zm00001eb211940 Zm00001d012980 Zm00001eb211900 Zm00001eb211950 Zm00001eb211960 GRMZM2G110881 GRMZM2G410865 Zm00001eb211910 Zm00001d012978 Zm00001d012981 Zm00001d012979,
60018,ZmALF18,Alfin-like,Zm00001eb168160,ALF18,pUT5754,Zm00001eb168160 Zm00001d049006 GRMZM2G008259 Zm00001d049007,1
60019,ZmALF19,Alfin-like,Zm00001eb094990,ALF19,pUT6622,Zm00001eb094990 Zm00001d005185 GRMZM2G047316,
60020,ZmALF20,Alfin-like,Zm00001eb110470,,,GRMZM2G008236 Zm00001eb110470 Zm00001d007054,
60021,ZmALF21,Alfin-like,Zm00001eb334970,,,Zm00001d008518 Zm00001eb334970 GRMZM2G377550,
60022,ZmALF22,Alfin-like,Zm00001eb369580,,,Zm00001d012590 GRMZM2G106250 Zm00001eb369580,2
60023,ZmALF23,Alfin-like,Zm00001eb232090,,,Zm00001d015238 Zm00001eb232090,
60024,ZmALF24,Alfin-like,Zm00001eb099750,,,Zm00001eb099750 Zm00001eb099770 Zm00001d005779 Zm00001eb099780 GRMZM2G341405 Zm00001eb099760,2
70001,ZmIAA1,Aux/IAA,Zm00001eb031190,IAA2,pUT5548,GRMZM2G079957 Zm00001d030993 Zm00001eb031190,1
70002,ZmIAA2,Aux/IAA,Zm00001eb056870,IAA4,pUT5743,Zm00001eb056870 Zm00001d033976 GRMZM2G159285,
70003,ZmIAA3,Aux/IAA,Zm00001eb060950,IAA5,pUT6659,Zm00001d034463 GRMZM5G809195 Zm00001eb060950 Zm00001eb060960,
70004,ZmIAA4,Aux/IAA,Zm00001eb121410,IAA7,pUT6756,GRMZM2G104176 Zm00001eb121410 Zm00001d039513,
70005,ZmIAA5,Aux/IAA,Zm00001eb122410,IAA8,pUT6443,GRMZM2G004696 Zm00001d039624 Zm00001eb122410,
70006,ZmIAA6,Aux/IAA,Zm00001eb129570,IAA9,pUT6576,Zm00001eb129570 GRMZM2G074742 Zm00001d040541,1
70007,ZmIAA7,Aux/IAA,Zm00001eb135550,IAA10,pUT1159,Zm00001eb135550 GRMZM2G138268 Zm00001d041416,
70008,ZmIAA8,Aux/IAA,Zm00001eb135570,IAA11,pUT5549,Zm00001d041418 GRMZM2G167794 Zm00001eb135570,
